mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_leaf_nodes,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.46913857460021974,0.1380471835811801,0.08896760940551758,0.038988049566550616,3,,6,150,"{'max_depth': 3, 'max_features': None, 'max_leaf_nodes': 6, 'n_estimators': 150}",0.5555555555555556,0.5,0.5,0.47058823529411764,0.7058823529411765,0.54640522875817,0.08434665213072226,16
0.04946713447570801,0.003867751098222395,0.011572456359863282,0.0011956367706974017,3,,9,25,"{'max_depth': 3, 'max_features': None, 'max_leaf_nodes': 9, 'n_estimators': 25}",0.5,0.5,0.6111111111111112,0.47058823529411764,0.6470588235294118,0.5457516339869282,0.0698154258469364,23
0.15219392776489257,0.04029798877786373,0.03490691184997559,0.008271302406454684,3,,9,50,"{'max_depth': 3, 'max_features': None, 'max_leaf_nodes': 9, 'n_estimators': 50}",0.5555555555555556,0.5,0.3888888888888889,0.5294117647058824,0.7058823529411765,0.5359477124183007,0.1021993187654372,31
0.2299872875213623,0.09037102168213612,0.04548201560974121,0.014343077416041187,3,,9,100,"{'max_depth': 3, 'max_features': None, 'max_leaf_nodes': 9, 'n_estimators': 100}",0.5555555555555556,0.5,0.4444444444444444,0.5294117647058824,0.7058823529411765,0.5470588235294118,0.08758169934640525,12
0.3021728515625,0.10668051719001867,0.06404156684875488,0.0247509536602329,3,,9,150,"{'max_depth': 3, 'max_features': None, 'max_leaf_nodes': 9, 'n_estimators': 150}",0.5555555555555556,0.5,0.3888888888888889,0.47058823529411764,0.7058823529411765,0.5241830065359477,0.10560360305932086,51
0.08517875671386718,0.006977449962228709,0.02313199043273926,0.002768435776800873,6,sqrt,3,25,"{'max_depth': 6, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 25}",0.6111111111111112,0.5,0.4444444444444444,0.35294117647058826,0.6470588235294118,0.5111111111111112,0.1077658665538622,91
0.11349830627441407,0.03269180017582387,0.01894664764404297,0.0030910238363284384,6,sqrt,3,50,"{'max_depth': 6, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 50}",0.5555555555555556,0.5555555555555556,0.3333333333333333,0.5294117647058824,0.6470588235294118,0.5241830065359477,0.1034580859472386,51
0.2253974437713623,0.08266477573809157,0.05406265258789063,0.022672286267635663,6,sqrt,3,100,"{'max_depth': 6, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 100}",0.5555555555555556,0.5555555555555556,0.5555555555555556,0.47058823529411764,0.6470588235294118,0.5568627450980392,0.0558278601413402,10
0.36421856880187986,0.15779884913328313,0.06163477897644043,0.02404631626699225,6,sqrt,3,150,"{'max_depth': 6, 'max_features': 'sqrt', 'max_leaf_nodes': 3, 'n_estimators': 150}",0.5555555555555556,0.5555555555555556,0.5555555555555556,0.47058823529411764,0.6470588235294118,0.5568627450980392,0.0558278601413402,10
0.04707355499267578,0.0037466070617167067,0.011968088150024415,0.0022802612930611726,6,sqrt,6,25,"{'max_depth': 6, 'max_features': 'sqrt', 'max_leaf_nodes': 6, 'n_estimators': 25}",0.5555555555555556,0.5,0.6111111111111112,0.47058823529411764,0.5882352941176471,0.5450980392156863,0.05275121248099628,30
